Frame Offset; Left Frame Index; Right Frame Index; Left Frame Time (ms); Left time from first frame (ms); Right Frame Time (ms); Right time from first frame (ms); Frame Time Diff (ms)
0;1;1;21.6443;0;97.0712;0;75.4269
1;2;2;6.2902;21.6443004608154;6.3135;97.0711975097656;0.02330017
2;3;3;9.3197;27.9345002174377;28.3427;103.384697437286;19.023
3;4;4;7.7546;37.2542004585266;33.6082;131.72739648819;25.8536
4;5;5;22.7487;45.0088005065918;33.9493;165.335596561432;11.2006
5;6;6;7.5778;67.7574996948242;33.3885;199.284895420074;25.8107
6;7;7;7.0225;75.3352994918823;34.0972;232.673395633698;27.0747
7;8;8;7.5133;82.3577995300293;34.2422;266.770594120026;26.7289
8;9;9;8.1513;89.8710994720459;37.4179;301.012793064117;29.2666
9;10;10;7.4502;98.0223999023438;34.5661;338.430693149567;27.1159
10;11;11;7.3067;105.472599983215;33.4282;372.996794223785;26.1215
11;12;12;7.9313;112.779299736023;32.9261;406.424993991852;24.9948
12;13;13;7.225;120.710599899292;33.5883;439.351095676422;26.3633
13;14;14;7.1761;127.935599803925;37.0028;472.93939447403;29.8267
14;15;15;8.1398;135.111699581146;33.7996;509.942194461823;25.6598
15;16;16;7.9181;143.251499652863;35.0277;543.74179315567;27.1096
16;17;17;7.2542;151.169599533081;32.7148;578.769491672516;25.4606
17;18;18;9.4243;158.423799514771;35.469;611.484293460846;26.0447
18;19;19;8.548;167.848099708557;34.115;646.953295230865;25.567
19;20;20;7.7278;176.39610004425;32.4079;681.068296909332;24.6801
20;21;21;7.889;184.123899936676;32.5557;713.476198673248;24.6667
21;22;22;9.2861;192.012899875641;35.9038;746.031897068024;26.6177
22;23;23;8.085;201.299000263214;35.6119;781.935698032379;27.5269
23;24;24;7.1795;209.384000301361;34.1782;817.547598361969;26.9987
24;25;25;7.5952;216.563500404358;32.6088;851.725798130035;25.0136
25;26;26;7.9472;224.158700466156;34.8507;884.334597110748;26.9035
26;27;27;8.8603;232.105900287628;33.4333;919.185297489166;24.573
27;28;28;8.3196;240.966200351715;35.1163;952.618597507477;26.7967
28;29;29;7.2017;249.285800457001;37.2403;987.734896183014;30.0386
29;30;30;7.3454;256.487500667572;31.1368;1024.97519540787;23.7914
30;31;31;6.9562;263.832900524139;33.3733;1056.11199617386;26.4171
31;32;32;7.5486;270.789100646973;34.5822;1089.48529481888;27.0336
32;33;33;9.3426;278.337700843811;33.2133;1124.06749391556;23.8707
33;34;34;7.7733;287.680300712585;33.6193;1157.28079271317;25.846
34;35;35;6.4791;295.453600883484;33.7099;1190.90009355545;27.2308
35;36;36;7.7251;301.932700634003;34.3348;1224.60999345779;26.6097
36;37;37;7.2897;309.657800674438;42.1062;1258.94479417801;34.8165
37;38;38;7.3192;316.947500705719;25.6168;1301.05099534988;18.2976
38;39;39;7.4317;324.266700744629;33.0686;1326.66779565811;25.6369
39;40;40;7.4781;331.698400497437;34.6384;1359.73639535904;27.1603
40;41;41;7.5919;339.176500320435;33.6473;1394.37479639053;26.0554
41;42;42;7.3292;346.768400192261;32.9795;1428.02209711075;25.6503
42;43;43;7.0668;354.097599983215;34.8102;1461.00159692764;27.7434
43;44;44;6.9184;361.164400100708;36.167;1495.81179666519;29.2486
44;45;45;8.0268;368.082799911499;35.5919;1531.97879648209;27.5651
45;46;46;6.188;376.109600067139;34.5268;1567.57069635391;28.3388
46;47;47;7.8566;382.297600269318;31.2073;1602.0974946022;23.3507
47;48;48;9.0276;390.154200077057;33.4342;1633.30479478836;24.4066
48;49;49;7.7178;399.181800365448;33.9679;1666.73899507523;26.2501
49;50;50;7.4876;406.899600505829;33.4414;1700.70689439774;25.9538
50;51;51;8.5927;414.38720035553;33.8301;1734.14829301834;25.2374
51;52;52;6.5829;422.979900360107;34.2019;1767.97839403152;27.619
52;53;53;7.2527;429.56280040741;34.1797;1802.1802945137;26.927
53;54;54;7.3503;436.815500259399;34.0967;1836.35999345779;26.7464
54;55;55;7.4842;444.165800094604;35.6437;1870.45669221878;28.1595
55;56;56;7.8009;451.650000095367;31.9566;1906.10039186478;24.1557
56;57;57;8.415;459.45090007782;33.741;1938.05699205399;25.326
57;58;58;7.2063;467.865900039673;36.8124;1971.79799318314;29.6061
58;59;59;8.5323;475.072199821472;33.9025;2008.61039400101;25.3702
59;60;60;7.3373;483.604499816895;34.8913;2042.51289415359;27.554
60;61;61;7.0903;490.941799640656;33.7785;2077.40419435501;26.6882
61;62;62;7.3866;498.032099723816;31.6818;2111.18269395828;24.2952
62;63;63;9.5751;505.418699741364;35.3851;2142.86449480057;25.81
63;64;64;7.6311;514.993799686432;32.6132;2178.24959611893;24.9821
64;65;65;7.9771;522.624899864197;34.0895;2210.86279726028;26.1124
65;66;66;7.3769;530.601999759674;32.6081;2244.95229768753;25.2312
66;67;67;8.158;537.97889995575;33.9533;2277.56039857864;25.7953
67;68;68;6.7085;546.13689994812;34.0733;2311.51369905472;27.3648
68;69;69;7.3005;552.845399856567;34.3046;2345.58699846268;27.0041
69;70;70;7.4614;560.145899772644;33.5413;2379.89159822464;26.0799
70;71;71;7.5491;567.607299804688;33.9265;2413.43289995193;26.3774
71;72;72;7.0388;575.156399726868;33.6671;2447.35939836502;26.6283
72;73;73;7.673;582.195199489594;38.0822;2481.02649736404;30.4092
73;74;74;6.8914;589.86819934845;33.3554;2519.10869646072;26.464
74;75;75;7.4535;596.759599208832;33.5267;2552.46409654617;26.0732
75;76;76;8.4018;604.213099002838;33.9113;2585.99079561234;25.5095
76;77;77;7.4557;612.614899158478;34.0503;2619.90209627151;26.5946
77;78;78;9.521;620.070599079132;33.9088;2653.95239686966;24.3878
78;79;79;7.7441;629.591598987579;34.4295;2687.86119508743;26.6854
79;80;80;7.1693;637.335699081421;33.4404;2722.29069566727;26.2711
80;81;81;7.301;644.504999160767;34.1886;2755.73109483719;26.8876
81;82;82;9.014;651.805999279022;34.6274;2789.91969347;25.6134
82;83;83;5.8833;660.819999217987;34.0934;2824.54709291458;28.2101
83;84;84;11.405;666.703299045563;32.8997;2858.64049196243;21.4947
84;85;85;6.6096;678.108298778534;34.7317;2891.54019212723;28.1221
85;86;86;7.2519;684.717898845673;33.2513;2926.27189302444;25.9994
86;87;87;7.0016;691.969799041748;35.379;2959.52319383621;28.3774
87;88;88;6.3999;698.971398830414;35.8529;2994.90219545364;29.453
88;89;89;7.5649;705.371298789978;33.3457;3030.75509691238;25.7808
89;90;90;7.8461;712.936198711395;34.0788;3064.10079622269;26.2327
90;91;91;8.4314;720.782298564911;35.0727;3098.1795964241;26.6413
91;92;92;6.526;729.213698863983;34.6553;3133.25229692459;28.1293
92;93;93;11.9892;735.739698886871;32.9254;3167.90759706497;20.9362
93;94;94;7.0998;747.728898525238;33.6661;3200.83299684525;26.5663
94;95;95;7.8172;754.828698635101;34.0893;3234.49909639359;26.2721
95;96;96;7.1856;762.64589881897;33.2744;3268.58839464188;26.0888
96;97;97;10.6195;769.831498622894;34.0703;3301.86279344559;23.4508
97;98;98;8.4662;780.450998783112;34.3077;3335.9330945015;25.8415
98;99;99;4.5066;788.91719865799;33.8969;3370.24079561234;29.3903
99;100;100;6.9482;793.423798561096;35.7062;3404.13769578934;28.758
100;101;101;7.4449;800.371998310089;34.9944;3439.84389543533;27.5495
