Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Idle";407.1162;233.8572;537.9907;1288;179;1104;1;13;458431.427597046;374.2297;315.4958;424.6913;16840;15;8;19;1225;119;0;38.4446;865;365;431.7411
"RenderLoop";30.9689;29.3512;36.7278;821;1317;809;1;1;23660.2347145081;31.05018;30.5011;31.4883;1524;2;2;2;762;119;0.001;35.9091;810;809;0
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";29.2128;0.319;34.0595;889;1180;641;2;7;22921.4339255691;18.71137;0.41;29.9611;1987;2;1;2;1225;119;0.3186;33.6105;921;641;0.7142
"ExecuteRenderGraph";29.174;0.2909;34.0014;965;1180;641;3;8;22865.0706728101;18.66536;0.3606;29.9206;1987;2;1;2;1225;119;0.2901;33.6098;1011;641;0.6829
"PlayerLoop";28.8217;23.6311;36.2625;1238;366;1104;1;1;35401.8377494812;28.89946;28.277;29.4393;3675;3;3;3;1225;119;0.0001;34.0377;126;1104;28.9375
"UpdateScene";26.8197;21.3809;34.0374;598;366;1104;2;2;32971.0772457123;26.91516;26.352;27.4387;1225;1;1;1;1225;119;21.3809;34.0374;366;1104;26.6499
"TimeUpdate.WaitForLastPresentationAndUpdateTime";25.7777;20.1813;32.9569;1299;366;1104;3;3;31666.6504096985;25.85033;25.3005;26.3357;1225;1;1;1;1225;119;20.1813;32.9569;366;1104;25.7128
"GfxDeviceD3D12.WaitForLastPresentation";25.7685;20.1725;32.9478;422;366;1104;4;4;31655.463218689;25.84119;25.2904;26.328;1225;1;1;1;1225;119;20.1725;32.9478;366;1104;25.7051
"GfxDeviceD3D12.WaitForLastPresentation.WaitForGPU";25.7658;20.1693;32.9454;900;366;1104;5;5;31652.8933334351;25.8391;25.2862;26.3262;1225;1;1;1;1225;119;20.1693;32.9454;366;1104;25.7034
"RenderPlayModeViewCameras";1.9402;1.6449;3.2218;1181;1162;365;2;2;2430.13199400902;1.983781;1.8409;2.083;1225;1;1;1;1225;119;1.6449;3.2218;1162;365;2.2872
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.8971;1.6007;3.1533;271;1128;365;3;3;2375.61329758167;1.939276;1.7987;2.0375;1225;1;1;1;1225;119;1.6007;3.1533;1128;365;2.2469
"EditorLoop";1.8821;1.571;7.091;786;1332;365;1;1;2449.87139225006;1.999895;1.7598;2.1084;4900;4;4;4;1225;119;0.0494;5.7019;124;365;1.8654
"Inl_UniversalRenderTotal";1.8727;1.5787;3.1131;299;1128;365;4;4;2345.79739534855;1.914937;1.7761;2.0134;1225;1;1;1;1225;119;1.5787;3.1131;1128;365;2.2253
"Inl_RenderCameraStack";1.8361;1.5446;3.061;535;1128;365;5;5;2301.43829643726;1.878725;1.7413;1.9754;1225;1;1;1;1225;119;1.5446;3.061;1128;365;2.1887
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";1.2111;1.0026;2.2165;544;1128;365;6;6;1529.29489719868;1.248404;1.1383;1.3216;1225;1;1;1;1225;119;1.0026;2.2165;1128;365;1.2446
"UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke]";0.6372001;0.4771;1.3964;440;1261;365;4;4;810.108999252319;0.6613135;0.5847;0.7132;9800;8;8;8;1225;119;0.0014;0.8381;989;365;0.5652
"GfxDeviceD3D12.WaitForGPU";0.5844;0.1741;1.5263;389;946;510;2;2;452.672999486327;0.5956224;0.5258;0.6524;882;1;1;3;760;119;0.0001;1.4464;819;510;0
"Inl_ScriptableRenderContext.Submit";0.4703;0.3883;0.8946;307;1052;883;6;6;592.029098421335;0.4832891;0.4389;0.511;1225;1;1;1;1225;119;0.3883;0.8946;1052;883;0.7979
"Gfx.RequestAsyncReadbackData";0.4523;0.2778;1.7756;991;121;571;3;3;24.6056998968124;0.4731865;0.4038;0.4997;52;1;1;1;52;121;0.2778;1.7756;121;571;0
"Inl_ExecuteRenderGraph";0.4519;0.3816;1.0158;636;943;811;7;7;577.809199392796;0.471681;0.417;0.5048;1225;1;1;1;1225;119;0.3816;1.0158;943;811;0.5488
"CreateCommittedResourceWithTag";0.4252;0.2608;1.748;391;121;571;4;4;23.2062000334263;0.4462731;0.3751;0.4704;52;1;1;1;52;121;0.2608;1.748;121;571;0
"Inl_RecordRenderGraph";0.3378;0.2771;0.704;1046;1128;202;7;7;431.700398296118;0.3524085;0.3178;0.3794;1225;1;1;1;1225;119;0.2771;0.704;1128;202;0.3051
"Inl_On Record Render Graph";0.3309;0.2721;0.6978;615;1128;202;8;8;423.084698408842;0.3453753;0.3115;0.3721;1225;1;1;1;1225;119;0.2721;0.6978;1128;202;0.2984
"SimulationSystemGroup";0.2945;0.1748;0.8388;403;1292;365;3;3;374.928499370813;0.3060641;0.2564;0.3433;1225;1;1;1;1225;119;0.1748;0.8388;1292;365;0.245
"Default World Unity.Entities.SimulationSystemGroup";0.292;0.1729;0.8359;723;1292;365;5;5;371.390798896551;0.3031762;0.2541;0.3402;1225;1;1;1;1225;119;0.1729;0.8359;1292;365;0.243
"Default World Unity.Entities.FixedStepSimulationSystemGroup";0.2471;0.1419;0.5812;370;1046;139;6;6;320.386899217963;0.2615403;0.2151;0.2974;1225;1;1;1;1225;119;0.1419;0.5812;1046;139;0.2077
"BufferD3D12.InitializeResource";0.2323;0.1512;0.5555;831;926;561;5;5;182.880899041891;0.2400012;0.2078;0.2578;7620;10;10;10;762;119;0.0081;0.2188;538;786;0
"UpdateOccluders";0.2137;0.006899999;0.5621;419;1243;402;4;9;197.469999254216;0.1612;0.0093;0.2607;3974;4;2;4;1225;119;0.0019;0.3716;943;402;0.0081
"Default World Unity.Physics.Systems.PhysicsSystemGroup";0.2055;0.1167;0.5061;442;1173;1304;7;7;267.21869917959;0.2181377;0.1798;0.2475;2274;2;1;2;1225;119;0.0415;0.408;1128;1304;0.1745
"InstanceOcclusionTest";0.2012;0.0108;0.4866;711;1162;786;4;9;185.520398932509;0.1514452;0.0146;0.2349;5961;6;3;6;1225;119;0.0011;0.2991;196;786;0.015
"BufferD3D12.CreateBufferResource";0.2004;0.1335;0.5019;979;926;561;6;6;157.83499981463;0.2071325;0.1802;0.2216;7620;10;10;10;762;119;0.0072;0.1919;538;1051;0
"CreateResourceWithTag";0.1913;0.1273;0.4861;771;1076;561;7;7;150.588099062443;0.1976222;0.1717;0.2109;7620;10;10;10;762;119;0.0068;0.1901;960;1051;0
"CullScriptable";0.1829;0.1508;0.3897;815;915;137;7;7;231.692399650812;0.1891367;0.1709;0.2023;1225;1;1;1;1225;119;0.1508;0.3897;915;137;0.1722
"BufferD3D12.UpdateInternal";0.1763;0.1364;0.3897;1310;904;577;2;5;137.873298674822;0.1809361;0.1638;0.1909;16002;21;21;21;762;119;0.001;0.2401;143;390;0
"SceneCulling";0.1556;0.1277;0.3541;238;915;137;8;8;197.648299515247;0.1613456;0.1447;0.1729;1225;1;1;1;1225;119;0.1277;0.3541;915;137;0.1468
"Vegetation RenderGraph Prepare";0.1476;0.0422;0.3759;625;287;390;4;9;151.105799250305;0.1233517;0.0544;0.1626;5961;6;3;6;1225;119;0.0008;0.2625;127;390;0.1357
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::BatchRendererGroup.InvokeOnPerformCulling() [Invoke]";0.1337;0.1094;0.3926;769;1009;137;8;9;175.87319894135;0.14357;0.1254;0.156;4900;4;4;4;1225;119;0.0017;0.2023;1084;137;0.1212
"Draw Main Light Shadowmap";0.1168;0.0346;0.4784;678;1289;859;4;9;124.459099330008;0.1015993;0.0494;0.1336;1987;2;1;2;1225;119;0.0346;0.4271;1289;859;0.0527
"MainLightShadow";0.1153;0.0339;0.4764;538;1276;859;5;10;122.658299338073;0.1001292;0.0482;0.1319;1987;2;1;2;1225;119;0.0339;0.4265;1276;859;0.0514
"VegetationRenderWorld:PrepareFrameJob";0.1148;0.1148;0.1148;916;916;916;11;11;0.114799998700619;0.1148;0.1148;0.1148;1;1;1;1;1;916;0.1148;0.1148;916;916;0
"UnityEngine.CoreModule.dll!::ExecuteJobFunction.Invoke() [Invoke]";0.1123;0.1123;0.1123;916;916;916;12;12;0.112300001084805;0.1123;0.1123;0.1123;1;1;1;1;1;916;0.1123;0.1123;916;916;0
"GPUResidentDrawer";0.1051;0.0817;0.2463;333;1116;230;3;3;134.36359962821;0.1096846;0.0939;0.1188;1225;1;1;1;1225;119;0.0817;0.2463;1116;230;0.1026
"InitializationSystemGroup";0.1005;0.0833;0.194;542;1138;325;3;3;127.787599533796;0.1043164;0.0949;0.1101;1225;1;1;1;1225;119;0.0833;0.194;1138;325;0.0926
"PresentationSystemGroup";0.0988;0.0797;0.2479;589;1153;365;3;3;126.277999542654;0.1030841;0.0904;0.1111;1225;1;1;1;1225;119;0.0797;0.2479;1153;365;0.0933
"Default World Unity.Entities.InitializationSystemGroup";0.097;0.0807;0.1884;715;1138;325;5;5;123.349699705839;0.1006936;0.0916;0.1063;1225;1;1;1;1225;119;0.0807;0.1884;1138;325;0.0893
"Default World Unity.Entities.PresentationSystemGroup";0.0968;0.0775;0.2351;368;1153;365;5;5;123.655399724841;0.1009432;0.0885;0.1089;1225;1;1;1;1225;119;0.0775;0.2351;1153;365;0.0919
"Inl_Vegetation RenderGraph Prepare";0.0931;0.0518;0.4954;289;149;365;8;8;123.204799186438;0.1005753;0.0867;0.1011;3675;3;3;3;1225;119;0.0005;0.4638;230;365;0.1579
"JobHandle.Complete";0.0915;0.0452;0.4861;695;187;365;5;12;122.63549721241;0.1001106;0.08319999;0.1051;40763;35;23;35;1225;119;0.0001;0.4226;122;365;0.1423
"VoxGeoFol.Vegetation.ShadowPass";0.0869;0.0255;0.37;496;1291;901;4;9;97.0144997108728;0.07919551;0.0383;0.1036;1987;2;1;2;1225;119;0.0253;0.3274;1020;901;0.0453
"Graphics.Blit";0.082;0.0222;0.1349;916;211;691;3;7;5.62209998629987;0.06856219;0.0274;0.0942;216;3;2;3;82;121;0.0111;0.1051;211;691;0
"Semaphore.WaitForSignal";0.0797;0;0.2967;688;152;662;2;8;82.7362997966266;0.06753983;0.0001;0.1104;4543;4;1;10;1225;119;0;0.2576;121;1010;0.0001
"Default World Unity.Physics.Systems.PhysicsInitializeGroup";0.0711;0.0398;0.3029;993;1041;409;8;8;94.9850993864238;0.07753886;0.0634;0.08579999;2274;2;1;2;1225;119;0.0137;0.2489;219;409;0.066
"VoxGeoFol.VegetationRenderPass.RecordRenderGraph";0.07049999;0.0606;0.1408;660;1263;756;9;9;92.5333996750414;0.07553747;0.0679;0.0817;3675;3;3;3;1225;119;0.0041;0.1072;656;432;0.0654
"Default World Unity.Physics.Systems.PhysicsInitializeGroupInternal";0.0679;0.0374;0.2986;813;1041;409;9;9;90.5124996379018;0.07388776;0.0603;0.0817;2274;2;1;2;1225;119;0.013;0.2477;219;409;0.0625
"SSAO";0.0638;0.0169;0.2434;930;1273;1211;4;9;69.3091997019947;0.05657894;0.0212;0.0797;1987;2;1;2;1225;119;0.0169;0.2434;539;1211;0.2434
"DrawDepthNormalPrepass";0.0634;0.0141;0.4995;967;1292;883;4;9;65.3524996042252;0.05334898;0.0183;0.0737;3974;4;2;4;1225;119;0.0042;0.425;572;883;0.0192
