Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;21.09;0
1;2;18.0963;21.0900001525879
2;3;25.2189;39.18630027771
3;4;25.1747;64.405200958252
4;5;24.7321;89.5799007415771
5;6;25.574;114.312000274658
6;7;25.2584;139.885999679565
7;8;26.2826;165.144399642944
8;9;26.0739;191.427000045776
9;10;27.6225;217.500900268555
10;11;25.0355;245.123399734497
11;12;25.7124;270.158899307251
12;13;25.8152;295.871299743652
13;14;28.1532;321.686500549316
14;15;26.385;349.839700698853
15;16;25.4525;376.224700927734
16;17;25.6055;401.677200317383
17;18;25.8956;427.282699584961
18;19;26.8028;453.178298950195
19;20;25.0634;479.981098175049
20;21;26.9852;505.044498443604
21;22;25.6664;532.029699325562
22;23;25.1013;557.696098327637
23;24;26.1519;582.797397613525
24;25;24.8546;608.949296951294
25;26;26.584;633.803895950317
26;27;24.9463;660.387895584106
27;28;25.7318;685.334196090698
28;29;27.8436;711.065996170044
29;30;25.1515;738.909595489502
30;31;25.549;764.061096191406
31;32;25.4457;789.610095977783
32;33;25.7173;815.055795669556
33;34;25.2455;840.773096084595
34;35;25.5431;866.01859664917
35;36;25.5;891.561697006226
36;37;26.5343;917.061697006226
37;38;25.6151;943.595996856689
38;39;25.0729;969.211097717285
39;40;24.8597;994.28399848938
40;41;25.4088;1019.14369773865
41;42;26.1715;1044.55249786377
42;43;24.9092;1070.72399711609
43;44;25.6393;1095.63319778442
44;45;25.2773;1121.27249717712
45;46;25.5511;1146.54979705811
46;47;25.6629;1172.10089683533
47;48;28.8948;1197.76379585266
48;49;24.9971;1226.65859603882
49;50;26.1324;1251.6556968689
50;51;26.2114;1277.78809738159
51;52;24.2455;1303.99949645996
52;53;25.4593;1328.24499702454
53;54;25.6589;1353.70429611206
54;55;25.0724;1379.36319541931
55;56;25.4254;1404.43559455872
56;57;25.6882;1429.86099433899
57;58;25.6427;1455.54919433594
58;59;25.7865;1481.19189453125
59;60;24.9379;1506.97839355469
60;61;25.4917;1531.9162940979
61;62;25.7191;1557.40799331665
62;63;25.7885;1583.12709236145
63;64;24.7514;1608.9155921936
64;65;26.051;1633.6669921875
65;66;25.2633;1659.71799278259
66;67;26.4364;1684.98129272461
67;68;27.8535;1711.41769218445
68;69;25.1873;1739.27119255066
69;70;25.5891;1764.45849227905
70;71;25.8494;1790.04759216309
71;72;25.172;1815.89699172974
72;73;25.5806;1841.06899261475
73;74;25.5901;1866.64959335327
74;75;25.2479;1892.23969268799
75;76;25.8508;1917.48759269714
76;77;25.3551;1943.33839225769
77;78;26.823;1968.6934928894
78;79;23.9858;1995.51649284363
79;80;25.1957;2019.50229263306
80;81;25.6441;2044.69799232483
81;82;25.1807;2070.34209251404
82;83;25.5969;2095.52279281616
83;84;25.7864;2121.11969184875
84;85;25.7444;2146.90609169006
85;86;24.6417;2172.65049171448
86;87;28.9187;2197.29219245911
87;88;25.5553;2226.21089172363
88;89;26.1296;2251.76619148254
89;90;24.7657;2277.89579200745
90;91;25.6105;2302.66149139404
91;92;25.5122;2328.27199172974
92;93;26.5012;2353.78419113159
93;94;24.478;2380.28539085388
94;95;25.6452;2404.76339149475
95;96;4.0334;2430.40859222412
96;97;21.036;2434.44199228287
97;98;51.488;2455.47799158096
98;99;25.6191;2506.96599054337
99;100;25.3609;2532.58509111404
100;101;25.3503;2557.94599199295
101;102;25.4731;2583.29629182816
102;103;25.7259;2608.76939249039
103;104;25.1676;2634.49529314041
104;105;25.2611;2659.66289377213
105;106;26.0587;2684.92399454117
106;107;28.1984;2710.98269510269
107;108;26.0873;2739.18109560013
108;109;25.1169;2765.26839494705
109;110;25.4893;2790.38529443741
110;111;25.3865;2815.87459421158
111;112;25.5016;2841.26109361649
112;113;25.9428;2866.76269388199
113;114;25.1911;2892.70549440384
114;115;25.3399;2917.89659357071
115;116;25.3893;2943.23649263382
116;117;26.5478;2968.62579202652
117;118;24.4977;2995.17359209061
118;119;25.444;3019.67129182816
119;120;25.5555;3045.1152920723
120;121;25.231;3070.67079210281
121;122;25.518;3095.90179109573
122;123;26.3359;3121.41979074478
123;124;25.1719;3147.75569009781
124;125;25.2196;3172.92758989334
125;126;28.6139;3198.14719057083
126;127;25.6091;3226.76108980179
127;128;25.6681;3252.37019014359
128;129;24.805;3278.03829050064
129;130;26.405;3302.84329080582
130;131;24.7404;3329.24829149246
