Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"PlayerLoop";23.2639;23.2639;23.2639;177;177;177;1;1;23.2639007568359;23.2639;23.2639;23.2639;3;3;3;3;1;177;0.0002;21.6191;177;177;23.2639
"UpdateScene";21.6189;21.6189;21.6189;177;177;177;2;2;21.6189002990723;21.6189;21.6189;21.6189;1;1;1;1;1;177;21.6189;21.6189;177;177;21.6189
"TimeUpdate.WaitForLastPresentationAndUpdateTime";20.4189;20.4189;20.4189;177;177;177;3;3;20.4188995361328;20.4189;20.4189;20.4189;1;1;1;1;1;177;20.4189;20.4189;177;177;20.4189
"EditorLoop";1.7762;1.7762;1.7762;177;177;177;1;1;1.77620005607605;1.7762;1.7762;1.7762;4;4;4;4;1;177;0.0614;0.998;177;177;1.7762
"RenderPlayModeViewCameras";1.6444;1.6444;1.6444;177;177;177;2;2;1.6444000005722;1.6444;1.6444;1.6444;1;1;1;1;1;177;1.6444;1.6444;177;177;1.6444
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.617;1.617;1.617;177;177;177;3;3;1.61699998378754;1.617;1.617;1.617;1;1;1;1;1;177;1.617;1.617;177;177;1.617
"Inl_UniversalRenderTotal";1.5957;1.5957;1.5957;177;177;177;4;4;1.59570002555847;1.5957;1.5957;1.5957;1;1;1;1;1;177;1.5957;1.5957;177;177;1.5957
"Inl_RenderCameraStack";1.5643;1.5643;1.5643;177;177;177;5;5;1.56429994106293;1.5643;1.5643;1.5643;1;1;1;1;1;177;1.5643;1.5643;177;177;1.5643
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";1.0754;1.0754;1.0754;177;177;177;6;6;1.07539999485016;1.0754;1.0754;1.0754;1;1;1;1;1;177;1.0754;1.0754;177;177;1.0754
"UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke]";0.7372;0.7372;0.7372;177;177;177;4;4;0.737200021743774;0.7372;0.7372;0.7372;8;8;8;8;1;177;0.0029;0.2857;177;177;0.7372
"Inl_ExecuteRenderGraph";0.4154;0.4154;0.4154;177;177;177;7;7;0.415399998426437;0.4154;0.4154;0.4154;1;1;1;1;1;177;0.4154;0.4154;177;177;0.4154
"Inl_ScriptableRenderContext.Submit";0.394;0.394;0.394;177;177;177;6;6;0.393999993801117;0.394;0.394;0.394;1;1;1;1;1;177;0.394;0.394;177;177;0.394
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.3296;0.3296;0.3296;177;177;177;7;7;0.329600006341934;0.3296;0.3296;0.3296;1;1;1;1;1;177;0.3296;0.3296;177;177;0.3296
"ExecuteRenderGraph";0.2939;0.2939;0.2939;177;177;177;8;8;0.293900012969971;0.2939;0.2939;0.2939;1;1;1;1;1;177;0.2939;0.2939;177;177;0.2939
"SimulationSystemGroup";0.2865;0.2865;0.2865;177;177;177;3;3;0.286500006914139;0.2865;0.2865;0.2865;1;1;1;1;1;177;0.2865;0.2865;177;177;0.2865
"Default World Unity.Entities.SimulationSystemGroup";0.2831;0.2831;0.2831;177;177;177;5;5;0.283100008964539;0.2831;0.2831;0.2831;1;1;1;1;1;177;0.2831;0.2831;177;177;0.2831
"Inl_RecordRenderGraph";0.2533;0.2533;0.2533;177;177;177;7;7;0.25330001115799;0.2533;0.2533;0.2533;1;1;1;1;1;177;0.2533;0.2533;177;177;0.2533
"Default World Unity.Entities.FixedStepSimulationSystemGroup";0.2477;0.2477;0.2477;177;177;177;6;6;0.24770000576973;0.2477;0.2477;0.2477;1;1;1;1;1;177;0.2477;0.2477;177;177;0.2477
"Inl_On Record Render Graph";0.2454;0.2454;0.2454;177;177;177;8;8;0.245399996638298;0.2454;0.2454;0.2454;1;1;1;1;1;177;0.2454;0.2454;177;177;0.2454
"Default World Unity.Physics.Systems.PhysicsSystemGroup";0.2121;0.2121;0.2121;177;177;177;7;7;0.212099999189377;0.2121;0.2121;0.2121;1;1;1;1;1;177;0.2121;0.2121;177;177;0.2121
"Profiler.FlushCounters";0.2021;0.2021;0.2021;177;177;177;1;1;0.202099993824959;0.2021;0.2021;0.2021;1;1;1;1;1;177;0.2021;0.2021;177;177;0.2021
"CullScriptable";0.1985;0.1985;0.1985;177;177;177;7;7;0.198499992489815;0.1985;0.1985;0.1985;1;1;1;1;1;177;0.1985;0.1985;177;177;0.1985
"Profiler.FlushMemoryCounters";0.1906;0.1906;0.1906;177;177;177;2;2;0.190599992871284;0.1906;0.1906;0.1906;1;1;1;1;1;177;0.1906;0.1906;177;177;0.1906
"SceneCulling";0.1753;0.1753;0.1753;177;177;177;8;8;0.175300002098083;0.1753;0.1753;0.1753;1;1;1;1;1;177;0.1753;0.1753;177;177;0.1753
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::BatchRendererGroup.InvokeOnPerformCulling() [Invoke]";0.1641;0.1641;0.1641;177;177;177;8;9;0.164099991321564;0.1641;0.1641;0.1641;4;4;4;4;1;177;0.0017;0.1223;177;177;0.1641
"PresentationSystemGroup";0.1486;0.1486;0.1486;177;177;177;3;3;0.148599997162819;0.1486;0.1486;0.1486;1;1;1;1;1;177;0.1486;0.1486;177;177;0.1486
"Default World Unity.Entities.PresentationSystemGroup";0.1463;0.1463;0.1463;177;177;177;5;5;0.146300002932549;0.1463;0.1463;0.1463;1;1;1;1;1;177;0.1463;0.1463;177;177;0.1463
"InitializationSystemGroup";0.1279;0.1279;0.1279;177;177;177;3;3;0.127900004386902;0.1279;0.1279;0.1279;1;1;1;1;1;177;0.1279;0.1279;177;177;0.1279
"Default World Unity.Entities.InitializationSystemGroup";0.1244;0.1244;0.1244;177;177;177;5;5;0.124399997293949;0.1244;0.1244;0.1244;1;1;1;1;1;177;0.1244;0.1244;177;177;0.1244
"GPUResidentDrawer";0.1142;0.1142;0.1142;177;177;177;3;3;0.114199995994568;0.1142;0.1142;0.1142;1;1;1;1;1;177;0.1142;0.1142;177;177;0.1142
"Inl_VoxGeoFol.Vegetation.ShadowPass";0.1131;0.1131;0.1131;177;177;177;8;8;0.113099999725819;0.1131;0.1131;0.1131;1;1;1;1;1;177;0.1131;0.1131;177;177;0.1131
"VoxGeoFol.VegetationRenderPass.DrawShadow.CommandBuffer";0.1121;0.1121;0.1121;177;177;177;9;9;0.112099997699261;0.1121;0.1121;0.1121;1;1;1;1;1;177;0.1121;0.1121;177;177;0.1121
"Default World Unity.Physics.Systems.PhysicsInitializeGroup";0.1086;0.1086;0.1086;177;177;177;8;8;0.108599998056889;0.1086;0.1086;0.1086;1;1;1;1;1;177;0.1086;0.1086;177;177;0.1086
"Default World Unity.Physics.Systems.PhysicsInitializeGroupInternal";0.1052;0.1052;0.1052;177;177;177;9;9;0.105200000107288;0.1052;0.1052;0.1052;1;1;1;1;1;177;0.1052;0.1052;177;177;0.1052
"VoxGeoFol.AuthoringContainerRuntime.PrepareGpuResidentFrame";0.0889;0.0889;0.0889;177;177;177;11;11;0.0888999998569489;0.0889;0.0889;0.0889;5;5;5;5;1;177;0.0071;0.0424;177;177;0.0889
"Default World Unity.Physics.Systems.PhysicsBuildWorldGroup";0.0846;0.0846;0.0846;177;177;177;10;10;0.0846000015735626;0.0846;0.0846;0.0846;1;1;1;1;1;177;0.0846;0.0846;177;177;0.0846
"VoxGeoFol.VegetationGpuDecisionPipeline.PrepareResidentFrame";0.0791;0.0791;0.0791;177;177;177;12;12;0.0790999978780746;0.0791;0.0791;0.0791;5;5;5;5;1;177;0.0067;0.0395;177;177;0.0791
"VoxGeoFol.AuthoringContainerRuntime.PrepareFrameForFrustum";0.0672;0.0672;0.0672;177;177;177;10;10;0.0671999976038933;0.0672;0.0672;0.0672;4;4;4;4;1;177;0.0073;0.044;177;177;0.0672
"RenderLoop.ScheduleDraw";0.0592;0.0592;0.0592;177;177;177;10;11;0.0592000000178814;0.0592;0.0592;0.0592;11;11;11;11;1;177;0.0002;0.0144;177;177;0.0592
"Draw Main Light Shadowmap";0.0568;0.0568;0.0568;177;177;177;9;9;0.0568000003695488;0.0568;0.0568;0.0568;1;1;1;1;1;177;0.0568;0.0568;177;177;0.0568
"MainLightShadow";0.0558;0.0558;0.0558;177;177;177;10;10;0.0557999983429909;0.0558;0.0558;0.0558;1;1;1;1;1;177;0.0558;0.0558;177;177;0.0558
"Default World Unity.Rendering.RegisterMaterialsAndMeshesSystem";0.0546;0.0546;0.0546;177;177;177;6;6;0.0546000003814697;0.0546;0.0546;0.0546;1;1;1;1;1;177;0.0546;0.0546;177;177;0.0546
"GPUResidentDrawer.DispatchChanges";0.0539;0.0539;0.0539;177;177;177;5;5;0.0538999997079372;0.0539;0.0539;0.0539;1;1;1;1;1;177;0.0539;0.0539;177;177;0.0539
"Shadows.ExecuteDrawShadows";0.0529;0.0529;0.0529;177;177;177;11;11;0.0529000014066696;0.0529;0.0529;0.0529;4;4;4;4;1;177;0.006;0.0295;177;177;0.0529
"RegisterMaterialsAndMeshes";0.0527;0.0527;0.0527;177;177;177;7;7;0.0526999980211258;0.0527;0.0527;0.0527;1;1;1;1;1;177;0.0527;0.0527;177;177;0.0527
"VoxGeoFol.Vegetation.ShadowPass";0.0504;0.0504;0.0504;177;177;177;9;9;0.0504000000655651;0.0504;0.0504;0.0504;1;1;1;1;1;177;0.0504;0.0504;177;177;0.0504
"JobHandle.Complete";0.0478;0.0478;0.0478;177;177;177;5;12;0.0477999970316887;0.0478;0.0478;0.0478;21;21;21;21;1;177;0.0003;0.0085;177;177;0.0478
"Default World Unity.Physics.Systems.PhysicsSimulationGroup";0.0456;0.0456;0.0456;177;177;177;8;8;0.0456000007688999;0.0456;0.0456;0.0456;1;1;1;1;1;177;0.0456;0.0456;177;177;0.0456
"Inl_Setup Forward Lights";0.0455;0.0455;0.0455;177;177;177;8;8;0.045499999076128;0.0455;0.0455;0.0455;1;1;1;1;1;177;0.0455;0.0455;177;177;0.0455
"Inl_Setup Light Constants";0.0439;0.0439;0.0439;177;177;177;9;9;0.0438999980688095;0.0439;0.0439;0.0439;1;1;1;1;1;177;0.0439;0.0439;177;177;0.0439
"RuntimeContentSystem";0.0435;0.0435;0.0435;177;177;177;3;3;0.0434999987483025;0.0435;0.0435;0.0435;1;1;1;1;1;177;0.0435;0.0435;177;177;0.0435
"CullShadowCastersScriptable";0.0434;0.0434;0.0434;177;177;177;7;7;0.0434000007808208;0.0434;0.0434;0.0434;1;1;1;1;1;177;0.0434;0.0434;177;177;0.0434
"PreUpdate.SendMouseEvents";0.041;0.041;0.041;177;177;177;3;3;0.0410000011324883;0.041;0.041;0.041;1;1;1;1;1;177;0.041;0.041;177;177;0.041
"Monobehaviour.OnMouse_";0.0407;0.0407;0.0407;177;177;177;4;4;0.0406999997794628;0.0407;0.0407;0.0407;1;1;1;1;1;177;0.0407;0.0407;177;177;0.0407
"UnityEngine.InputLegacyModule.dll!UnityEngine::SendMouseEvents.DoSendMouseEvents() [Invoke]";0.0395;0.0395;0.0395;177;177;177;5;5;0.0394999980926514;0.0395;0.0395;0.0395;1;1;1;1;1;177;0.0395;0.0395;177;177;0.0395
"Compute.Dispatch";0.03849998;0.03849998;0.03849998;177;177;177;9;14;0.0384999848902225;0.03849998;0.03849998;0.03849998;77;77;77;77;1;177;0.0001;0.0019;177;177;0.03849998
"Shadows.ScheduleRenderJobs";0.0343;0.0343;0.0343;177;177;177;12;12;0.0342999994754791;0.0343;0.0343;0.0343;4;4;4;4;1;177;0.0034;0.0211;177;177;0.0343
"VoxGeoFol.VegetationRenderPass.DrawContainers.Raster";0.0343;0.0343;0.0343;177;177;177;9;9;0.0342999994754791;0.0343;0.0343;0.0343;2;2;2;2;1;177;0.0027;0.0316;177;177;0.0343
"Inl_Vegetation Depth Pass";0.0322;0.0322;0.0322;177;177;177;8;8;0.032200001180172;0.0322;0.0322;0.0322;1;1;1;1;1;177;0.0322;0.0322;177;177;0.0322
"ObjectDispatcher.DispatchTypeChanges";0.031;0.031;0.031;177;177;177;6;6;0.0309999994933605;0.031;0.031;0.031;5;5;5;5;1;177;0.0018;0.019;177;177;0.031
"PlayerConnection.Poll";0.031;0.031;0.031;177;177;177;4;5;0.0309999994933605;0.031;0.031;0.031;2;2;2;2;1;177;0.0025;0.0285;177;177;0.031
"Default World Unity.Rendering.StructuralChangePresentationSystemGroup";0.0304;0.0304;0.0304;177;177;177;6;6;0.0304000005125999;0.0304;0.0304;0.0304;1;1;1;1;1;177;0.0304;0.0304;177;177;0.0304
"EarlyUpdate.PollPlayerConnection";0.0288;0.0288;0.0288;177;177;177;3;3;0.0287999995052814;0.0288;0.0288;0.0288;1;1;1;1;1;177;0.0288;0.0288;177;177;0.0288
"Default World Unity.Physics.Systems.IntegrityCheckSystem";0.0275;0.0275;0.0275;177;177;177;11;11;0.0274999998509884;0.0275;0.0275;0.0275;1;1;1;1;1;177;0.0275;0.0275;177;177;0.0275
"Inl_Forward+ Setup";0.0271;0.0271;0.0271;177;177;177;9;9;0.0271000005304813;0.0271;0.0271;0.0271;1;1;1;1;1;177;0.0271;0.0271;177;177;0.0271
"VoxGeoFol.AuthoringContainerRuntime.PrepareFrameForCamera";0.0268;0.0268;0.0268;177;177;177;10;10;0.0267999991774559;0.0268;0.0268;0.0268;2;2;2;2;1;177;0.0003;0.0265;177;177;0.0268
"Default World Unity.Scenes.Editor.LiveConversionEditorSystemGroup";0.0267;0.0267;0.0267;177;177;177;6;6;0.0266999993473291;0.0267;0.0267;0.0267;1;1;1;1;1;177;0.0267;0.0267;177;177;0.0267
"Inl_NRPRGComp_ExecuteBeginRenderpassCommand";0.0263;0.0263;0.0263;177;177;177;8;8;0.0263000000268221;0.0263;0.0263;0.0263;9;9;9;9;1;177;0.0013;0.0082;177;177;0.0263
"Inl_UniversalRenderPipeline.ComputeShadowCasterCullingInfos";0.0254;0.0254;0.0254;177;177;177;7;7;0.0253999996930361;0.0254;0.0254;0.0254;1;1;1;1;1;177;0.0254;0.0254;177;177;0.0254
"Update.ScriptRunBehaviourUpdate";0.025;0.025;0.025;177;177;177;3;3;0.025000000372529;0.025;0.025;0.025;1;1;1;1;1;177;0.025;0.025;177;177;0.025
"Default World Unity.Physics.Systems.EnsureUniqueColliderSystem";0.0245;0.0245;0.0245;177;177;177;8;9;0.0245000012218952;0.0245;0.0245;0.0245;2;2;2;2;1;177;0.0019;0.0226;177;177;0.0245
"BehaviourUpdate";0.0242;0.0242;0.0242;177;177;177;4;4;0.0241999998688698;0.0242;0.0242;0.0242;1;1;1;1;1;177;0.0242;0.0242;177;177;0.0242
"Default World Unity.Physics.Systems.BeforePhysicsSystemGroup";0.0242;0.0242;0.0242;177;177;177;8;8;0.0241999998688698;0.0242;0.0242;0.0242;1;1;1;1;1;177;0.0242;0.0242;177;177;0.0242
"Inl_InstanceOcclusionTest";0.024;0.024;0.024;177;177;177;8;8;0.0240000002086163;0.024;0.024;0.024;3;3;3;3;1;177;0.0035;0.0163;177;177;0.024
"Default World Unity.Physics.Systems.BuildPhysicsWorld";0.0235;0.0235;0.0235;177;177;177;11;11;0.0234999991953373;0.0235;0.0235;0.0235;1;1;1;1;1;177;0.0235;0.0235;177;177;0.0235
"Default World VoxGeoFol.Features.Vegetation.SubScene.SubSceneVegetationBootstrapSystem";0.0233;0.0233;0.0233;177;177;177;6;6;0.0232999995350838;0.0233;0.0233;0.0233;1;1;1;1;1;177;0.0233;0.0233;177;177;0.0233
"Vegetation Color Pass";0.023;0.023;0.023;177;177;177;9;9;0.0230000000447035;0.023;0.023;0.023;1;1;1;1;1;177;0.023;0.023;177;177;0.023
"PreUpdate.NewInputUpdate";0.0223;0.0223;0.0223;177;177;177;3;3;0.022299999371171;0.0223;0.0223;0.0223;1;1;1;1;1;177;0.0223;0.0223;177;177;0.0223
"Default World Unity.Scenes.SceneSystemGroup";0.0221;0.0221;0.0221;177;177;177;6;6;0.0220999997109175;0.0221;0.0221;0.0221;1;1;1;1;1;177;0.0221;0.0221;177;177;0.0221
"VoxGeoFol.VegetationIndirectRenderer.Render";0.0218;0.0218;0.0218;177;177;177;10;10;0.0218000002205372;0.0218;0.0218;0.0218;6;6;6;6;1;177;0.0019;0.01;177;177;0.0218
"Inl_ComputeHashRenderGraph";0.0216;0.0216;0.0216;177;177;177;7;7;0.0216000005602837;0.0216;0.0216;0.0216;1;1;1;1;1;177;0.0216;0.0216;177;177;0.0216
"Inl_CopyDepth";0.0216;0.0216;0.0216;177;177;177;8;9;0.0216000005602837;0.0216;0.0216;0.0216;2;2;2;2;1;177;0.0102;0.0114;177;177;0.0216
"Inl_NRPRGComp_ExecuteInitializeResources";0.0216;0.0216;0.0216;177;177;177;8;8;0.0215999986976385;0.0216;0.0216;0.0216;32;32;32;32;1;177;0;0.0042;177;177;0.0216
"PostLateUpdate.UpdateAudio";0.0209;0.0209;0.0209;177;177;177;3;3;0.0208999998867512;0.0209;0.0209;0.0209;1;1;1;1;1;177;0.0209;0.0209;177;177;0.0209
"Shadows.DrawSRPBatcher";0.0207;0.0207;0.0207;177;177;177;13;13;0.0207000002264977;0.0207;0.0207;0.0207;4;4;4;4;1;177;0.0017;0.0143;177;177;0.0207
"UnityEngine.IMGUIModule.dll!UnityEngine::GUIUtility.SetSkin() [Invoke]";0.0207;0.0207;0.0207;177;177;177;3;3;0.0207000002264977;0.0207;0.0207;0.0207;1;1;1;1;1;177;0.0207;0.0207;177;177;0.0207
"RenderLoop.DrawSRPBatcher";0.0205;0.0205;0.0205;177;177;177;12;12;0.0205000005662441;0.0205;0.0205;0.0205;3;3;3;3;1;177;0.0021;0.0115;177;177;0.0205
"Default World Unity.Scenes.Editor.EditorSubSceneLiveConversionSystem";0.0198;0.0198;0.0198;177;177;177;7;7;0.0197999998927116;0.0198;0.0198;0.0198;1;1;1;1;1;177;0.0198;0.0198;177;177;0.0198
"AudioManager.Update";0.0196;0.0196;0.0196;177;177;177;4;4;0.0196000002324581;0.0196;0.0196;0.0196;1;1;1;1;1;177;0.0196;0.0196;177;177;0.0196
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::BatchRendererGroup.InvokeOnFinishedCulling() [Invoke]";0.0192;0.0192;0.0192;177;177;177;7;7;0.0191999990493059;0.0192;0.0192;0.0192;4;4;4;4;1;177;0.0001;0.0185;177;177;0.0192
"FixedUpdate.Physics2DFixedUpdate";0.0188;0.0188;0.0188;177;177;177;3;3;0.0187999997287989;0.0188;0.0188;0.0188;2;2;2;2;1;177;0.0036;0.0152;177;177;0.0188
"WaitForJobGroupID";0.0186;0.0186;0.0186;177;177;177;6;13;0.0186000000685453;0.0186;0.0186;0.0186;5;5;5;5;1;177;0.0015;0.0064;177;177;0.0186
