Marker Name;Left Median;Right Median;Diff;Abs Diff;Count Left;Count Right;Count Delta
TimeUpdate.WaitForLastPresentationAndUpdateTime;20.58;0.04;-20.54;20.54;1;1;0
UpdateScene;21.51;1.05;-20.46;20.46;1;1;0
PlayerLoop;23.33;4.15;-19.19;19.19;3;3;0
RenderPlayModeViewCameras;1.82;3.10;1.27;1.27;1;1;0
UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke];1.79;3.03;1.24;1.24;1;1;0
Inl_UniversalRenderTotal;1.77;3.00;1.23;1.23;1;1;0
Inl_RenderCameraStack;1.73;2.92;1.18;1.18;1;1;0
Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;1.17;1.91;0.74;0.74;1;1;0
EditorLoop;2.00;2.60;0.60;0.60;4;4;0
Inl_ScriptableRenderContext.Submit;0.47;0.87;0.40;0.40;1;1;0
RenderLoop.ScheduleDraw;0.07;0.43;0.36;0.36;11;12;1
UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;0.39;0.73;0.34;0.34;1;1;0
ExecuteRenderGraph;0.34;0.64;0.30;0.30;1;1;0
CullScriptable;0.19;0.46;0.26;0.26;1;1;0
SceneCulling;0.17;0.42;0.25;0.25;1;1;0
Inl_ExecuteRenderGraph;0.43;0.68;0.25;0.25;1;1;0
UnityEngine.CoreModule.dll!UnityEngine.Rendering::BatchRendererGroup.InvokeOnPerformCulling() [Invoke];0.16;0.37;0.21;0.21;4;4;0
RenderLoop.DrawSRPBatcher;0.02;0.18;0.16;0.16;3;13;10
Inl_NRPRGComp_ExecuteInitializeResources;0.02;0.17;0.15;0.15;32;29;-3
Inl_VoxGeoFol.Vegetation.ShadowPass;0.12;-;-0.12;0.12;1;-;-1
VoxGeoFol.VegetationRenderPass.DrawShadow.CommandBuffer;0.12;-;-0.12;0.12;1;-;-1
Draw Main Light Shadowmap;0.08;0.19;0.11;0.11;1;1;0
MainLightShadow;0.08;0.19;0.11;0.11;1;1;0
Shadows.ExecuteDrawShadows;0.07;0.19;0.11;0.11;4;4;0
DrawTransparentObjects;0.00;0.10;0.10;0.10;1;1;0
VoxGeoFol.AuthoringContainerRuntime.PrepareGpuResidentFrame;0.10;-;-0.10;0.10;5;-;-5
Inl_RecordRenderGraph;0.27;0.36;0.09;0.09;1;1;0
VoxGeoFol.VegetationGpuDecisionPipeline.PrepareResidentFrame;0.09;-;-0.09;0.09;5;-;-5
Inl_On Record Render Graph;0.27;0.35;0.09;0.09;1;1;0
SRPBRender.ApplyShader;0.02;0.09;0.07;0.07;3;13;10
VoxGeoFol.AuthoringContainerRuntime.PrepareFrameForFrustum;0.07;-;-0.07;0.07;4;-;-4
DrawDepthNormalPrepass;0.02;0.09;0.07;0.07;2;2;0
Shadows.ScheduleRenderJobs;0.05;0.12;0.06;0.06;4;4;0
Shadows.DrawSRPBatcher;0.03;0.08;0.05;0.05;4;12;8
VoxGeoFol.Vegetation.ShadowPass;0.05;-;-0.05;0.05;1;-;-1
UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];0.57;0.62;0.05;0.05;8;8;0
SRPBatcher.Flush;0.01;0.06;0.05;0.05;7;25;18
SRPBShadow.ApplyShader;0.02;0.06;0.04;0.04;4;12;8
