Marker Name;Left Median;Right Median;Diff;Abs Diff;Count Left;Count Right;Count Delta
UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;1.43;29.79;28.35;28.35;1254;909;-345
ExecuteRenderGraph;1.41;29.74;28.33;28.33;1254;909;-345
RenderLoop;3.67;30.99;27.32;27.32;4684;840;-3844
PlayerLoop;2.30;29.04;26.74;26.74;1881;1467;-414
UpdateScene;0.73;26.86;26.12;26.12;627;489;-138
TimeUpdate.WaitForLastPresentationAndUpdateTime;0.01;25.79;25.78;25.78;627;489;-138
GfxDeviceD3D12.WaitForLastPresentation;0.00;25.78;25.78;25.78;627;489;-138
GfxDeviceD3D12.WaitForLastPresentation.WaitForGPU;2.64;25.78;23.13;23.13;5;489;484
Gfx.WaitForGfxCommandsFromMainThread;0.93;-;-0.93;0.93;3433;-;-3433
Semaphore.WaitForSignal;1.00;0.10;-0.90;0.90;6045;2384;-3661
RenderPlayModeViewCameras;1.52;2.17;0.65;0.65;627;489;-138
UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke];1.48;2.13;0.65;0.65;627;489;-138
Inl_RenderCameraStack;1.42;2.07;0.65;0.65;627;489;-138
Inl_UniversalRenderTotal;1.45;2.10;0.65;0.65;627;489;-138
Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera;0.96;1.29;0.34;0.34;627;489;-138
EditorLoop;2.18;1.87;-0.32;0.32;2508;1956;-552
Vegetation RenderGraph Prepare;-;0.30;0.30;0.30;-;2727;2727
Default World Unity.Entities.FixedStepSimulationSystemGroup;0.00;0.25;0.25;0.25;627;489;-138
Inl_ExecuteRenderGraph;0.26;0.51;0.25;0.25;627;489;-138
SimulationSystemGroup;0.05;0.30;0.25;0.25;627;489;-138
Default World Unity.Entities.SimulationSystemGroup;0.05;0.29;0.25;0.25;627;489;-138
UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];0.41;0.64;0.23;0.23;5016;3912;-1104
GfxDeviceD3D12.WaitForGPU;0.78;0.56;-0.22;0.22;612;458;-154
Inl_ScriptableRenderContext.Submit;0.36;0.55;0.19;0.19;627;489;-138
Inl_Vegetation RenderGraph Prepare;-;0.14;0.14;0.14;-;1467;1467
BufferD3D12.UpdateInternal;0.11;0.25;0.14;0.14;10659;8820;-1839
GPUResidentDrawer.UpdateSelection;0.10;-;-0.10;0.10;2;-;-2
VoxGeoFol.Vegetation.ShadowPass;-;0.09;0.09;0.09;-;909;909
Inl_RecordRenderGraph;0.27;0.35;0.08;0.08;627;489;-138
Inl_On Record Render Graph;0.26;0.34;0.08;0.08;627;489;-138
VoxGeoFol.VegetationRenderPass.RecordRenderGraph;-;0.08;0.08;0.08;-;1467;1467
Gfx.RequestAsyncReadbackData;0.37;0.44;0.07;0.07;42;27;-15
CreateCommittedResourceWithTag;0.35;0.42;0.07;0.07;42;27;-15
Default World Unity.Physics.Systems.PhysicsSystemGroup;0.15;0.21;0.06;0.06;178;916;738
VoxGeoFol.VegetationRenderPass.RecordShadowRenderGraph;-;0.06;0.06;0.06;-;489;489
Vegetation Color Pass;-;0.05;0.05;0.05;-;909;909
Inl_VoxGeoFol.Vegetation.ShadowPass;-;0.04;0.04;0.04;-;489;489
VoxGeoFol.VegetationRenderPass.ExecuteShadowPass;-;0.04;0.04;0.04;-;489;489
VoxGeoFol.VegetationRenderPass.DrawShadow;-;0.04;0.04;0.04;-;489;489
